174,51:38.413N,001:51.448W,0F,T,CRD,Cricklade*Z50
175,52:40.773N,000:11.011W,0F,T,CRO,Crowland Bridge*Z50
176,52:42.822N,000:08.173W,10F,AT,CRL,Crowland A/F*Z100
177,50:05.190N,005:15.558W,267F,AT,CLD,Culdrose A/F*Z100
178,50:51.652N,003:23.016W,0F,T,CUL,Cullompton*Z50
179,54:56.065N,001:50.456W,800F,AT,CUR,Currock Hill*Z100
180,54:31.405N,001:37.185W,0F,T,DAR,Darlington*Z50
181,50:57.619N,000:25.349E,0F,T,DAW,Darwell*Z50
182,51:58.926N,001:19.383W,0F,T,DED,Deddington*Z50
183,53:11.013N,003:23.831W,0F,T,DEN,Denbigh*Z50
184,54:51.622N,001:57.344W,0F,T,DER,Derwent*Z50
185,51:17.647N,000:34.113E,0F,AT,DET,Detling*Z100
186,50:53.130N,000:12.718W,0F,AT,DDK,Devil'S Dyke*Z100
187,51:21.252N,001:59.076W,0F,T,DEV,Devizes*Z50
188,51:37.297N,001:15.658W,0F,T,DID,Didcot*Z50
189,54:08.186N,001:25.175W,117F,AT,DSH,Dishforth*Z100
190,54:08.973N,001:26.138W,0F,T,DIF,Dishforth Flyover*Z50
191,52:22.221N,001:07.241E,0F,T,DIS,Diss*Z50
192,50:54.049N,000:06.317W,0F,T,DIT,Ditchling Beacon*Z50
193,52:54.066N,000:37.195E,0F,T,DOC,Docking*Z50
194,53:28.721N,001:08.918W,0F,T,DON,Doncaster*Z50
195,53:34.680N,001:12.749W,0F,T,DNW,Doncaster NW*Z50
196,52:54.096N,000:13.060W,0F,T,DTN,Donington*Z50
197,50:43.235N,002:24.799W,0F,T,DOR,Dorchester*Z50
198,52:36.249N,000:21.906E,0F,T,DOW,Downham Market*Z50
199,54:00.534N,000:27.208W,0F,T,DRI,Driffield*Z50
200,52:17.272N,002:07.210W,0F,T,DRO,Droitwlch*Z50
201,53:00.464N,001:32.081W,0F,T,DFF,Duffield*Z50
202,51:02.359N,003:33.177W,0F,T,DUL,Dulverton*Z50
203,55:05.158N,003:36.638W,0F,T,DUM,Dumfries*Z50
204,50:56.875N,000:36.960W,0F,T,DUC,Duncton*Z50
205,55:46.737N,002:20.717W,0F,T,DUS,Duns*Z50
206,51:52.252N,000:32.831W,500F,AT,DUN,Dunstable C/H*Z100
207,51:54.402N,000:33.050W,0F,T,DNS,Dunstable R-Bout*Z50
208,54:46.408N,001:34.592W,0F,T,DUR,Durham*Z50
209,54:47.632N,001:31.733W,0F,T,DNE,Durham Northeast*Z50
210,50:55.639N,003:59.609W,655F,AT,EAG,Eaglescott*Z100
211,52:21.227N,000:02.265E,0F,T,EAR,Earith*Z50
212,52:40.334N,000:56.990E,0F,T,EDE,East Dereham*Z50
213,52:04.912N,001:28.486W,642F,AT,EDG,Edgehill*Z100
214,52:54.540N,002:53.643W,0F,T,ELL,Ellesmere*Z50
215,52:23.888N,000:15.837E,0F,T,ELY,Ely*Z50
216,51:55.755N,001:25.731W,550F,AT,ENS,Enstone*Z100
217,51:00.609N,000:26.600E,0F,AT,ETC,Etchingham*Z100
218,52:08.483N,001:36.843W,0F,T,ETT,Ettington*Z50
219,52:05.893N,001:56.757W,0F,T,EVE,Evesham*Z50
220,52:32.336N,000:44.696W,0F,T,EYE,Eyebrook*Z50
221,52:50.372N,000:50.257E,0F,T,FAK,Fakenham*Z50
222,50:52.016N,001:10.963W,0F,T,FAH,Fareham*Z50
223,51:38.955N,001:34.519W,0F,T,FAR,Faringdon*Z50
224,51:18.099N,000:55.548E,0F,T,FAV,Faversham*Z50
225,52:42.569N,001:11.498E,120F,AT,FEL,Felthorpe*Z100
226,52:29.258N,000:31.491E,0F,T,FWL,Feltwell*Z50
227,52:09.998N,001:21.855W,0F,T,FEN,Fenny Compton*Z50
228,54:11.508N,000:17.979W,0F,T,FIL,Filey*Z50
229,54:06.982N,000:04.963W,0F,T,FLA,Flamborough*Z50
230,51:05.723N,001:02.967E,0F,T,FOL,Folkestone*Z50
231,50:55.709N,001:47.191W,0F,T,FOR,Fordingbridge *Z50
232,54:04.221N,000:55.239W,0F,T,FOS,Foston*Z50
233,51:03.156N,001:59.938W,0F,T,FOV,Fovant*Z50
234,52:07.143N,000:03.357E,0F,T,FOX,Foxton*Z50
235,52:13.906N,001:17.897E,0F,T,FRW,Framlingham*Z50
236,54:01.218N,000:39.720W,0F,T,FRI,Fridaythorpe*Z50
237,51:13.699N,002:19.348W,0F,T,FRO,Frome*Z50
238,53:23.523N,000:46.628W,0F,T,GAI,Gainsborough*Z50
239,55:36.207N,002:46.803W,0F,T,GAA,Galashiels*Z50
240,52:23.713N,000:56.815E,0F,T,GAB,Garboldisham*Z50
241,53:47.818N,001:22.979W,0F,T,GAF,Garforth*Z50
242,54:56.752N,001:30.933W,0F,T,GAT,Gateshead East*Z50
243,52:11.559N,001:27.538W,0F,T,GAY,Gaydon*Z50
244,51:02.101N,002:16.127W,0F,T,GIL,Gillingham*Z50
